# Persian shaping vectors, generated by tools/i18n/make_shaping_vectors.py -- do not edit by hand.
#
# Each line is: <logical text> TAB <visual codepoints, hex, space separated>.
# "Logical" is what the string table says; "visual" is what a left-to-right bitmap font must be handed for the
# eye to read it as Persian. Produced by arabic_reshaper 3.0.1 + python-bidi 0.6.11 on CPython 3.13.14.
#
# The Java shaper (render/PersianShaper.java) has to reproduce every line. PersianShaperTest fails on the first
# one it does not, printing both sides as codepoints.
آ	FE81
ا	FE8D
ب	FE8F
پ	FB56
ت	FE95
ث	FE99
ج	FE9D
چ	FB7A
ح	FEA1
خ	FEA5
د	FEA9
ذ	FEAB
ر	FEAD
ز	FEAF
ژ	FB8A
س	FEB1
ش	FEB5
ص	FEB9
ض	FEBD
ط	FEC1
ظ	FEC5
ع	FEC9
غ	FECD
ف	FED1
ق	FED5
ک	FB8E
گ	FB92
ل	FEDD
م	FEE1
ن	FEE5
و	FEED
ه	FEE9
ی	FBFC
ئ	FE89
ء	FE80
ة	FE93
بآب	FE8F FE82 FE91
باب	FE8F FE8E FE91
ببب	FE90 FE92 FE91
بپب	FE90 FB59 FE91
بتب	FE90 FE98 FE91
بثب	FE90 FE9C FE91
بجب	FE90 FEA0 FE91
بچب	FE90 FB7D FE91
بحب	FE90 FEA4 FE91
بخب	FE90 FEA8 FE91
بدب	FE8F FEAA FE91
بذب	FE8F FEAC FE91
برب	FE8F FEAE FE91
بزب	FE8F FEB0 FE91
بژب	FE8F FB8B FE91
بسب	FE90 FEB4 FE91
بشب	FE90 FEB8 FE91
بصب	FE90 FEBC FE91
بضب	FE90 FEC0 FE91
بطب	FE90 FEC4 FE91
بظب	FE90 FEC8 FE91
بعب	FE90 FECC FE91
بغب	FE90 FED0 FE91
بفب	FE90 FED4 FE91
بقب	FE90 FED8 FE91
بکب	FE90 FB91 FE91
بگب	FE90 FB95 FE91
بلب	FE90 FEE0 FE91
بمب	FE90 FEE4 FE91
بنب	FE90 FEE8 FE91
بوب	FE8F FEEE FE91
بهب	FE90 FEEC FE91
بیب	FE90 FBFF FE91
بئب	FE90 FE8C FE91
بءب	FE8F FE80 FE8F
بةب	FE8F FE94 FE91
آب	FE8F FE81
اب	FE8F FE8D
بب	FE90 FE91
پب	FE90 FB58
تب	FE90 FE97
ثب	FE90 FE9B
جب	FE90 FE9F
چب	FE90 FB7C
حب	FE90 FEA3
خب	FE90 FEA7
دب	FE8F FEA9
ذب	FE8F FEAB
رب	FE8F FEAD
زب	FE8F FEAF
ژب	FE8F FB8A
سب	FE90 FEB3
شب	FE90 FEB7
صب	FE90 FEBB
ضب	FE90 FEBF
طب	FE90 FEC3
ظب	FE90 FEC7
عب	FE90 FECB
غب	FE90 FECF
فب	FE90 FED3
قب	FE90 FED7
کب	FE90 FB90
گب	FE90 FB94
لب	FE90 FEDF
مب	FE90 FEE3
نب	FE90 FEE7
وب	FE8F FEED
هب	FE90 FEEB
یب	FE90 FBFE
ئب	FE90 FE8B
ءب	FE8F FE80
ةب	FE8F FE93
بآ	FE82 FE91
با	FE8E FE91
بپ	FB57 FE91
بت	FE96 FE91
بث	FE9A FE91
بج	FE9E FE91
بچ	FB7B FE91
بح	FEA2 FE91
بخ	FEA6 FE91
بد	FEAA FE91
بذ	FEAC FE91
بر	FEAE FE91
بز	FEB0 FE91
بژ	FB8B FE91
بس	FEB2 FE91
بش	FEB6 FE91
بص	FEBA FE91
بض	FEBE FE91
بط	FEC2 FE91
بظ	FEC6 FE91
بع	FECA FE91
بغ	FECE FE91
بف	FED2 FE91
بق	FED6 FE91
بک	FB8F FE91
بگ	FB93 FE91
بل	FEDE FE91
بم	FEE2 FE91
بن	FEE6 FE91
بو	FEEE FE91
به	FEEA FE91
بی	FBFD FE91
بئ	FE8A FE91
بء	FE80 FE8F
بة	FE94 FE91
لا	FEFB
لأ	FEF7
لإ	FEF9
لآ	FEF5
سلام	FEE1 FEFC FEB3
بلا	FEFC FE91
الله	FDF2
الا	FEFB FE8D
کلاه	FEE9 FEFC FB90
می‌رود	FEA9 FEED FEAD FBFD FEE3
خانه‌ها	FE8E FEEB FEEA FEE7 FE8E FEA7
بازی‌ها	FE8E FEEB FBFC FEAF FE8E FE91
سیب‌زمینی	FBFD FEE8 FBFF FEE3 FEAF FE90 FBFF FEB3
به‌هم	FEE2 FEEB FEEA FE91
‌	
ب‌ب	FE8F FE8F
ب‍ب	FE90 FE91
بـب	FE90 0640 FE91
ـ	0640
بـ	0640 FE91
بَ	FE8F
بِ	FE8F
بُ	FE8F
بً	FE8F
بٍ	FE8F
بٌ	FE8F
بّ	FE8F
بْ	FE8F
مُحمَّد	FEAA FEE4 FEA4 FEE3
موج ۱۴۰	06F1 06F4 06F0 0020 FE9D FEEE FEE3
۲۰۰ موج یا سی	FBFD FEB3 0020 FE8E FBFE 0020 FE9D FEEE FEE3 0020 06F2 06F0 06F0
سطح ۵	06F5 0020 FEA2 FEC4 FEB3
۵۰٪	06F5 06F0 066A
HP ۵۰	0048 0050 0020 06F5 06F0
Wave 140	0057 0061 0076 0065 0020 0031 0034 0030
موج 140	0031 0034 0030 0020 FE9D FEEE FEE3
۰۱۲۳۴۵۶۷۸۹	06F0 06F1 06F2 06F3 06F4 06F5 06F6 06F7 06F8 06F9
